gene	TGFb_t24_FDR	TGFb_t24_logFC	TGFb_t48_FDR	TGFb_t48_logFC	TGFb_t72_FDR	TGFb_t72_logFC	Thrombin_t24_FDR	Thrombin_t24_logFC	Thrombin_t48_FDR	Thrombin_t48_logFC	Thrombin_t72_FDR	Thrombin_t72_logFC
ENSG00000154188					 4.491e-57	-1.439e+00					 3.832e-70	-1.512e+00
ENSG00000119714	 3.049e-48	 2.237e+00	1.169e-142	 4.366e+00	 2.837e-06	 1.385e+00	 2.281e-26	 1.425e+00	 1.274e-81	 3.223e+00		
ENSG00000092096											 6.273e-80	-1.480e+00
ENSG00000154217											 5.913e-35	-1.768e+00
ENSG00000165655					 6.091e-31	-1.217e+00			3.832e-110	-1.058e+00	 2.880e-90	-1.912e+00
ENSG00000136932											 9.082e-59	 1.221e+00
ENSG00000048392					3.337e-140	 1.337e+00					3.978e-193	 1.642e+00
ENSG00000228436	 5.126e-05	-1.185e+00										
ENSG00000171724					 1.578e-40	-2.200e+00			5.205e-107	-1.366e+00	 2.740e-65	-3.443e+00
ENSG00000107165									 6.640e-65	 1.128e+00		
ENSG00000101439											 3.428e-47	-1.070e+00
ENSG00000168389	 2.718e-41	 1.371e+00					 2.094e-37	 1.412e+00			 2.881e-57	 1.414e+00
ENSG00000164932											1.263e-216	-1.899e+00
ENSG00000273340									 4.637e-10	-1.323e+00		
ENSG00000127241	 4.114e-93	-1.499e+00			1.124e-265	-2.770e+00					6.695e-164	-2.310e+00
ENSG00000179195									1.279e-194	-1.189e+00		
ENSG00000166321					 1.982e-08	-1.057e+00					 4.639e-11	-1.242e+00
ENSG00000165891			 2.785e-84	 1.121e+00	3.788e-215	 2.312e+00			 2.332e-85	 1.154e+00	1.463e-300	 2.646e+00
ENSG00000271643											 4.750e-12	 1.273e+00
ENSG00000137880					 1.698e-11	-1.761e+00			 4.572e-28	-1.700e+00	 9.110e-17	-2.318e+00
ENSG00000182379	 1.853e-54	 1.669e+00	 9.842e-79	 2.448e+00					 1.140e-70	 2.220e+00		
ENSG00000180543					 1.016e-73	 1.111e+00					 5.412e-74	 1.138e+00
ENSG00000168077					 0.000e+00	-2.817e+00			4.086e-173	-1.242e+00	 0.000e+00	-4.589e+00
ENSG00000279207									 2.243e-38	-1.231e+00		
ENSG00000196923			2.053e-123	 1.048e+00	 2.233e-35	-1.002e+00			5.369e-174	 1.166e+00	6.073e-138	-1.560e+00
ENSG00000180385											 2.786e-13	-1.193e+00
ENSG00000226738			 1.104e-05	 5.600e+00	 6.405e-63	 3.916e+00					 6.630e-35	 2.938e+00
ENSG00000180611									 1.269e-54	 1.123e+00		
ENSG00000168952					 4.134e-38	-1.346e+00					 9.568e-55	-1.787e+00
ENSG00000242071											 7.985e-14	-1.199e+00
ENSG00000069122	 4.404e-36	-1.021e+00	 1.030e-43	-1.352e+00	 1.407e-87	-2.735e+00					 4.951e-90	-2.828e+00
ENSG00000125319					 2.403e-08	-1.315e+00					 9.213e-07	-1.127e+00
ENSG00000076555					 1.960e-36	-1.008e+00			 8.324e-39	-1.048e+00	 4.783e-97	-1.861e+00
ENSG00000166598											 6.048e-78	 1.270e+00
ENSG00000061337					 2.363e-35	-1.258e+00					1.170e-106	-1.630e+00
ENSG00000101255			 0.000e+00	 3.413e+00	2.521e-157	 1.572e+00			 0.000e+00	 3.933e+00	7.265e-122	 1.469e+00
ENSG00000257553											 1.907e-05	 2.612e+00
ENSG00000198624	 1.571e-34	-1.233e+00	 1.334e-64	-1.176e+00					 1.042e-85	-1.468e+00		
ENSG00000112715	4.602e-261	 1.420e+00	 0.000e+00	 2.060e+00	 2.044e-78	 1.060e+00			 0.000e+00	 2.262e+00	5.363e-204	 1.865e+00
ENSG00000153395					3.232e-115	-1.108e+00						
ENSG00000145040	 6.004e-39	 1.604e+00	 3.769e-24	 2.093e+00	 1.744e-13	 1.510e+00			 2.361e-12	 1.447e+00	 3.378e-15	 1.714e+00
ENSG00000158985											2.170e-105	 1.252e+00
ENSG00000113811											 4.299e-51	 1.138e+00
ENSG00000152219											 2.690e-64	 1.028e+00
ENSG00000180011											 1.179e-67	-1.045e+00
ENSG00000101000											 2.222e-46	-1.020e+00
ENSG00000198860									3.791e-147	 1.264e+00		
ENSG00000125744					 2.638e-39	-1.258e+00					 2.354e-55	-1.638e+00
