gene	TGFb_t24_FDR	TGFb_t24_logFC	TGFb_t48_FDR	TGFb_t48_logFC	TGFb_t72_FDR	TGFb_t72_logFC	Thrombin_t24_FDR	Thrombin_t24_logFC	Thrombin_t48_FDR	Thrombin_t48_logFC	Thrombin_t72_FDR	Thrombin_t72_logFC
ENSG00000180423					 1.398e-17	 1.130e+00					 1.379e-32	 1.264e+00
ENSG00000261840											 2.927e-07	-1.222e+00
ENSG00000166123			3.414e-171	 1.637e+00					 0.000e+00	 2.297e+00		
ENSG00000133935					 9.865e-80	-1.112e+00					 2.160e-63	-1.023e+00
ENSG00000273149											 3.179e-09	 2.177e+00
ENSG00000224578					 1.043e-10	-1.052e+00					 1.010e-27	-1.731e+00
ENSG00000181544					 5.173e-06	-1.550e+00						
ENSG00000129195					 2.216e-16	-2.404e+00			 2.730e-38	 1.484e+00	 9.263e-21	-2.841e+00
ENSG00000133138					 1.013e-54	-1.045e+00					 1.565e-49	-1.127e+00
ENSG00000198768	 5.683e-75	 1.186e+00	2.428e-218	 2.624e+00					 1.082e-84	 1.344e+00		
ENSG00000226237	 3.124e-11	-2.276e+00	 4.838e-34	-1.907e+00	 1.064e-46	-2.857e+00			 1.364e-46	-1.689e+00	 5.681e-40	-2.432e+00
ENSG00000144810					 6.565e-41	-1.047e+00			8.420e-208	 1.386e+00		
ENSG00000281508					 4.644e-20	-1.176e+00					 1.088e-24	-1.373e+00
ENSG00000012504	 5.024e-62	-2.034e+00										
ENSG00000177096					 1.236e-75	-1.106e+00					6.924e-101	-1.325e+00
ENSG00000128602					 1.056e-91	-1.408e+00			 1.987e-65	-1.165e+00	8.265e-276	-2.685e+00
ENSG00000135919			 0.000e+00	 3.080e+00	1.524e-197	 2.018e+00			 0.000e+00	 2.959e+00	8.739e-202	 1.966e+00
ENSG00000159403											2.700e-138	-1.398e+00
ENSG00000176845									2.078e-136	 1.190e+00		
ENSG00000143507	 1.492e-24	-1.055e+00										
ENSG00000167244					6.773e-133	-1.220e+00						
ENSG00000131015									 1.260e-58	 1.426e+00	 8.098e-31	 1.279e+00
ENSG00000184408					2.092e-162	-2.343e+00					4.700e-272	-3.570e+00
ENSG00000130748					 2.592e-32	-1.190e+00					 8.738e-68	-1.735e+00
ENSG00000133134					7.918e-223	 4.556e+00			 1.154e-09	 2.311e+00	 0.000e+00	 5.141e+00
ENSG00000117394							 7.649e-61	 1.018e+00	 0.000e+00	 1.914e+00		
ENSG00000215769									 3.684e-18	-1.062e+00		
ENSG00000205362											 1.240e-05	-1.320e+00
ENSG00000109971					 1.479e-79	-1.202e+00					5.096e-127	-1.551e+00
ENSG00000132429					 6.260e-13	-1.058e+00					 4.622e-18	-1.173e+00
ENSG00000141298					 4.361e-66	-1.199e+00			3.230e-159	-1.156e+00	8.373e-135	-1.835e+00
ENSG00000099864					1.424e-139	-1.642e+00			1.283e-301	-1.756e+00	4.869e-172	-1.826e+00
ENSG00000185088											4.551e-124	 1.097e+00
ENSG00000109743					 9.389e-90	-1.745e+00					 6.634e-94	-1.967e+00
ENSG00000227051					4.167e-171	-1.607e+00			1.923e-274	-1.868e+00	1.491e-199	-1.858e+00
ENSG00000071282	 2.786e-97	 1.304e+00	3.044e-227	 1.548e+00			 1.455e-49	 1.203e+00	5.768e-255	 1.525e+00	9.122e-163	-1.526e+00
ENSG00000182310					 5.131e-40	-1.143e+00					 4.835e-47	-1.089e+00
ENSG00000001630					 2.341e-52	-1.141e+00					 2.006e-43	-1.030e+00
ENSG00000115425					5.570e-164	 2.429e+00					8.011e-192	 2.567e+00
ENSG00000197978					 3.943e-27	 1.101e+00					 5.660e-61	 1.418e+00
ENSG00000230084											 1.421e-05	-1.584e+00
ENSG00000167191			2.069e-163	-1.336e+00	1.109e-137	-1.896e+00					 2.101e-88	-1.590e+00
ENSG00000187796			 4.164e-70	 1.821e+00					5.903e-117	 1.999e+00		
ENSG00000122378			 1.153e-88	-1.286e+00	 1.566e-65	-1.524e+00			2.925e-119	-1.307e+00	 5.169e-77	-1.684e+00
ENSG00000163704											 5.937e-18	-1.380e+00
ENSG00000104332			 8.119e-84	-1.788e+00	 2.573e-84	-2.483e+00			 4.774e-60	-1.434e+00	 1.023e-82	-2.342e+00
ENSG00000049540									 4.174e-38	-1.424e+00	2.469e-152	-3.121e+00
ENSG00000256973	 8.996e-09	-1.202e+00										
ENSG00000067445					 1.763e-33	-1.281e+00			 3.624e-61	-1.042e+00	4.897e-102	-2.260e+00
ENSG00000234409					 2.087e-10	-1.125e+00						
ENSG00000260793					 2.557e-14	-1.301e+00			 2.970e-41	-1.682e+00	 1.793e-31	-2.343e+00
ENSG00000135269					 1.731e-69	 1.167e+00			3.584e-192	 1.404e+00	 3.615e-85	 1.332e+00
ENSG00000120129									1.992e-272	 1.720e+00		
ENSG00000110619			 0.000e+00	 1.580e+00					 0.000e+00	 1.809e+00		
ENSG00000154864	2.423e-154	-1.199e+00			1.706e-267	-1.675e+00					4.090e-194	-1.410e+00
ENSG00000117226											 1.649e-56	 1.016e+00
ENSG00000118508					6.912e-165	 1.441e+00			4.237e-228	 1.318e+00	4.332e-198	 1.619e+00
ENSG00000212293											 7.644e-06	-2.591e+00
ENSG00000125148			1.842e-161	 1.303e+00					6.794e-250	 1.498e+00		
ENSG00000261550					 6.261e-05	 1.170e+00			 1.388e-05	-1.383e+00	 5.738e-08	 1.354e+00
ENSG00000106025									 2.592e-27	-1.440e+00	 1.728e-11	 1.059e+00
ENSG00000186193					 1.197e-19	-3.229e+00			 6.210e-26	 1.239e+00	 5.839e-13	-2.233e+00
ENSG00000167900					 3.606e-84	-3.590e+00			 6.159e-58	 1.163e+00	 3.393e-56	-2.547e+00
ENSG00000220785									 7.530e-57	-1.024e+00	 6.679e-68	-1.437e+00
ENSG00000135740									 1.448e-45	-1.148e+00		
ENSG00000198901					 9.009e-58	-2.308e+00					 1.405e-63	-2.185e+00
ENSG00000118513	 2.115e-42	 1.769e+00	 8.891e-10	 1.520e+00			 2.143e-16	 1.169e+00	 1.491e-10	 1.225e+00	 3.361e-09	-2.834e+00
ENSG00000185070					 0.000e+00	 2.654e+00					 0.000e+00	 2.995e+00
ENSG00000206712									 4.463e-05	-1.361e+00		
ENSG00000167778											 2.845e-44	 1.048e+00
ENSG00000277300											 3.501e-05	 1.870e+00
ENSG00000140534					 1.423e-11	-1.627e+00					 4.907e-09	-1.318e+00
ENSG00000240024											 3.968e-30	 1.248e+00
ENSG00000115738	 7.172e-30	-1.125e+00	 2.301e-36	-1.064e+00					3.540e-115	-1.920e+00	 7.538e-19	-1.264e+00
ENSG00000260630					 1.128e-61	-1.843e+00					 6.727e-83	-2.223e+00
ENSG00000211455									7.877e-145	 1.619e+00		
ENSG00000237172					5.988e-116	-1.246e+00					4.842e-170	-1.579e+00
ENSG00000139190					 1.905e-44	-1.176e+00					 6.528e-62	-1.371e+00
ENSG00000204767			 9.028e-49	 1.031e+00							 6.729e-25	-1.147e+00
ENSG00000136122					 5.403e-14	-1.093e+00						
ENSG00000167513					 2.199e-41	-2.711e+00					 5.818e-50	-3.133e+00
ENSG00000139998					 8.371e-29	-1.154e+00					 1.947e-93	-1.990e+00
ENSG00000165195											 7.925e-60	 1.235e+00
ENSG00000172201			 2.920e-08	-1.148e+00					 3.474e-16	-1.251e+00		
ENSG00000035403					 3.264e-74	-1.212e+00					 9.068e-77	-1.232e+00
ENSG00000063438	 1.296e-97	-1.603e+00										
ENSG00000173221									3.485e-167	 1.154e+00	9.919e-137	 1.184e+00
ENSG00000261373			 1.767e-19	 1.026e+00					 1.528e-51	 1.312e+00		
ENSG00000111335	 2.187e-26	-1.302e+00										
ENSG00000186301									 2.532e-41	-1.466e+00		
ENSG00000121769	 1.558e-09	 1.074e+00			2.270e-113	-3.378e+00			 7.748e-51	-1.088e+00	1.196e-126	-3.547e+00
ENSG00000105605											 7.681e-24	-1.395e+00
ENSG00000130635			7.067e-173	 1.106e+00								
ENSG00000104722					 3.745e-43	 2.207e+00			 8.536e-33	 2.291e+00	 9.545e-75	 2.689e+00
ENSG00000140403					 6.912e-40	 1.052e+00					 1.810e-63	 1.202e+00
ENSG00000222041									6.299e-126	 1.087e+00		
ENSG00000149634									 1.171e-12	-1.557e+00		
ENSG00000126005											 9.342e-52	-1.077e+00
ENSG00000162148									 4.304e-12	-1.057e+00		
ENSG00000149428					 6.368e-94	 1.625e+00					4.687e-138	 1.991e+00
ENSG00000128284	 5.282e-92	-1.471e+00										
ENSG00000160408					2.053e-137	-1.101e+00					8.352e-132	-1.376e+00
ENSG00000281206											 3.078e-05	 1.250e+00
ENSG00000249992			 1.349e-22	-1.019e+00								
ENSG00000145819			 5.679e-22	 1.048e+00					6.663e-198	 2.101e+00	 1.324e-75	 1.009e+00
ENSG00000173546					 1.183e-58	-1.465e+00					 6.311e-35	-1.043e+00
ENSG00000021355					 2.407e-78	 1.268e+00					1.533e-165	 1.703e+00
ENSG00000157240											 1.508e-20	-1.029e+00
ENSG00000108604											2.064e-106	-1.033e+00
ENSG00000184260									 5.917e-05	 1.264e+00		
ENSG00000204219					 5.051e-16	-1.165e+00					 1.605e-32	-1.663e+00
ENSG00000143409					 1.984e-34	-1.190e+00			1.450e-111	-1.356e+00	 1.609e-54	-1.885e+00
ENSG00000164736					 4.392e-38	-1.198e+00						
ENSG00000144674											 8.919e-90	 1.040e+00
ENSG00000142949									6.139e-142	 1.194e+00		
ENSG00000164877					 2.424e-79	-1.542e+00					1.598e-184	-1.703e+00
ENSG00000204387					2.046e-143	 1.313e+00			2.348e-211	 1.090e+00	3.690e-171	 1.454e+00
ENSG00000164649					 2.692e-79	-1.293e+00					 2.947e-80	-1.415e+00
ENSG00000148925											6.863e-122	 1.194e+00
ENSG00000106804											 8.088e-28	-1.371e+00
ENSG00000274012					 4.133e-19	 1.188e+00					2.320e-155	 2.225e+00
ENSG00000065717			 3.416e-48	-1.509e+00	 5.634e-55	-1.894e+00			 6.775e-48	-1.513e+00	 1.362e-54	-2.103e+00
ENSG00000250320									 2.612e-51	 2.467e+00		
ENSG00000181541											 2.252e-05	-1.143e+00
ENSG00000058668	1.269e-167	-1.055e+00	3.962e-137	-1.197e+00	 0.000e+00	-2.822e+00					 0.000e+00	-2.121e+00
ENSG00000109861	1.290e-157	 1.042e+00										
ENSG00000104213					 2.011e-15	-1.270e+00			 2.966e-23	-1.309e+00	 8.141e-64	-3.100e+00
ENSG00000135929											 2.287e-47	-1.117e+00
ENSG00000170396			 3.732e-12	-1.091e+00	 3.500e-26	 1.253e+00					 1.077e-50	 1.807e+00
ENSG00000105426					 3.423e-90	-1.025e+00					2.811e-168	-1.416e+00
ENSG00000139163					 1.059e-79	 1.026e+00					 4.483e-71	 1.065e+00
ENSG00000165072	 5.636e-48	-1.663e+00	 2.324e-17	-1.049e+00			 4.626e-31	-1.288e+00			 6.899e-42	 1.110e+00
ENSG00000242265			2.784e-152	-1.327e+00	5.559e-107	-1.558e+00			2.137e-216	-1.508e+00	 3.541e-86	-1.319e+00
ENSG00000249572									 1.116e-05	 1.029e+00		
ENSG00000112936	 7.034e-48	-1.189e+00	1.914e-267	-1.812e+00	1.953e-253	-2.153e+00			 0.000e+00	-2.943e+00	 0.000e+00	-3.565e+00
ENSG00000134057					 2.815e-90	-2.450e+00					 8.531e-74	-2.111e+00
ENSG00000258655	 6.653e-13	 1.081e+00									 2.763e-12	-1.429e+00
ENSG00000166780									3.360e-168	-1.186e+00		
ENSG00000149564					 3.593e-37	-1.807e+00			3.915e-242	 1.872e+00		
ENSG00000168734			2.193e-110	-1.065e+00	1.511e-161	-1.290e+00					4.868e-142	-1.366e+00
ENSG00000198948					 9.931e-39	 1.352e+00					 5.200e-42	 1.462e+00
ENSG00000281195	 6.427e-06	-1.165e+00										
ENSG00000234362	 6.205e-28	-1.148e+00			 5.248e-28	-1.323e+00			 1.359e-43	-1.199e+00	 4.357e-57	-2.035e+00
ENSG00000118473			 2.877e-39	 1.070e+00	 5.159e-89	 1.516e+00					 2.220e-97	 1.532e+00
ENSG00000178935					 6.998e-21	 1.054e+00						
ENSG00000269292					 4.993e-18	-1.046e+00						
ENSG00000102390					 1.166e-73	 1.116e+00					4.009e-110	 1.337e+00
ENSG00000013619											 2.062e-42	-1.277e+00
ENSG00000223345					 6.242e-06	 1.324e+00						
ENSG00000137507					 7.777e-96	-1.540e+00			 5.030e-85	-1.075e+00	1.822e-188	-2.206e+00
ENSG00000074219					6.227e-100	-1.217e+00					4.437e-119	-1.379e+00
ENSG00000105778					5.963e-175	 1.303e+00					8.208e-243	 1.549e+00
ENSG00000105281			 0.000e+00	 2.045e+00					 0.000e+00	 2.439e+00		
ENSG00000180801									1.245e-144	 1.128e+00		
ENSG00000076706	 4.450e-76	 1.115e+00			 1.472e-55	-1.821e+00					 3.350e-63	-2.000e+00
ENSG00000125864									 7.572e-25	-1.283e+00	 6.007e-17	-1.470e+00
ENSG00000134259					 3.043e-64	 2.266e+00					5.028e-143	 2.956e+00
ENSG00000167600	 8.874e-76	-1.280e+00			 1.674e-61	-2.165e+00					 9.680e-25	-1.271e+00
ENSG00000225830					 7.632e-53	-1.052e+00						
ENSG00000127507			 2.290e-43	 1.605e+00	 3.320e-33	 1.714e+00			 4.483e-24	 1.078e+00	 7.762e-15	 1.140e+00
ENSG00000072210					 9.607e-65	-1.035e+00					 1.585e-82	-1.214e+00
ENSG00000090674									 5.485e-59	-1.034e+00		
ENSG00000108797					3.924e-121	-1.244e+00					3.230e-169	-1.571e+00
ENSG00000202198			 2.827e-06	-1.444e+00								
ENSG00000203497					 5.657e-06	-1.193e+00			 1.071e-23	-1.559e+00	 1.234e-13	-2.107e+00
ENSG00000246596									 5.072e-30	-1.013e+00	 3.753e-74	-1.806e+00
ENSG00000141542					 3.379e-27	-1.088e+00			 7.796e-45	-1.274e+00	 4.579e-33	-1.195e+00
ENSG00000121236					 4.301e-21	-1.782e+00					 4.508e-27	-2.293e+00
ENSG00000134291											 2.499e-43	 1.219e+00
ENSG00000103710					 6.137e-23	-2.078e+00			1.478e-106	-2.214e+00	 1.445e-52	-3.513e+00
ENSG00000091986											5.559e-127	-1.627e+00
ENSG00000176435					 5.061e-90	 2.152e+00			 2.048e-62	 1.178e+00	 9.475e-96	 2.094e+00
ENSG00000177602					 1.645e-09	-1.983e+00					 6.004e-09	-1.702e+00
ENSG00000116574	 5.342e-43	-1.065e+00			 1.422e-58	-1.600e+00	 2.688e-60	-1.414e+00	1.095e-188	-1.631e+00	 1.473e-66	-1.661e+00
ENSG00000136235			 5.931e-50	-1.429e+00					5.895e-123	-2.149e+00	2.889e-102	-1.476e+00
ENSG00000166228					 1.317e-32	-1.049e+00						
ENSG00000167397											 1.865e-53	-1.073e+00
ENSG00000153162	 2.362e-60	-1.369e+00	 3.448e-47	-1.536e+00	 5.720e-71	-2.148e+00						
ENSG00000232187					 7.111e-08	 1.311e+00					 6.627e-08	 1.131e+00
ENSG00000272379											 7.099e-05	 1.285e+00
ENSG00000272734	 8.281e-56	-1.283e+00					 1.050e-39	-1.022e+00				
ENSG00000197852					2.474e-103	-1.110e+00						
ENSG00000174791					2.276e-112	-1.338e+00					3.834e-178	-1.752e+00
ENSG00000274422					 2.510e-06	-1.153e+00			 3.226e-17	-1.544e+00	 3.326e-16	-1.902e+00
ENSG00000119922	 5.468e-27	-1.295e+00			 2.977e-92	 1.419e+00					2.834e-111	 1.708e+00
ENSG00000137776											1.384e-118	 1.039e+00
ENSG00000184319					 2.506e-62	 1.009e+00					3.420e-102	 1.297e+00
ENSG00000104381											 5.062e-23	 1.037e+00
ENSG00000162630									 2.759e-46	 1.782e+00		
ENSG00000260196					 2.593e-48	 1.351e+00					 1.648e-80	 1.647e+00
ENSG00000207425									 4.324e-06	-1.046e+00		
ENSG00000005243											 7.063e-91	-1.136e+00
ENSG00000163735			 1.050e-40	 1.524e+00			 4.255e-64	 1.388e+00	 8.765e-50	 1.493e+00		
ENSG00000092068	 5.297e-13	-1.224e+00									 4.112e-64	-1.876e+00
ENSG00000131477											 1.184e-09	-1.029e+00
ENSG00000197043					 4.429e-66	-1.066e+00					2.470e-106	-1.354e+00
ENSG00000162551							 1.046e-32	 1.372e+00	1.251e-214	 3.996e+00	6.808e-203	 3.222e+00
ENSG00000160949					 2.037e-39	-1.597e+00					 7.351e-51	-1.888e+00
ENSG00000023909									8.376e-105	 1.106e+00		
ENSG00000080947											 5.685e-68	-1.411e+00
ENSG00000239521			 3.003e-50	-1.218e+00	 1.430e-33	-1.202e+00			1.388e-125	-1.838e+00	 5.567e-46	-1.413e+00
ENSG00000172922											 1.335e-68	-1.089e+00
ENSG00000229334					 1.474e-06	-1.107e+00						
ENSG00000172830					8.250e-106	-1.464e+00					4.311e-133	-1.681e+00
ENSG00000169750					 9.320e-26	-1.094e+00					 5.642e-63	-1.679e+00
ENSG00000131899											 4.753e-69	-1.003e+00
ENSG00000230918			 8.916e-05	-1.070e+00	 9.839e-16	-1.671e+00					 1.649e-23	-2.376e+00
ENSG00000127528			 6.203e-96	 1.095e+00					4.315e-218	 1.480e+00	4.941e-138	 1.306e+00
ENSG00000073008					 7.436e-60	 1.027e+00			 0.000e+00	 2.025e+00	3.423e-116	 1.435e+00
ENSG00000182195											 8.282e-81	-1.327e+00
ENSG00000164294											 4.033e-87	-1.152e+00
ENSG00000208028											 5.657e-07	 1.001e+00
ENSG00000114126									1.982e-138	-1.070e+00		
ENSG00000127586					 3.588e-31	-1.347e+00					 3.191e-49	-1.778e+00
ENSG00000166289					 5.233e-77	 1.142e+00					 3.051e-87	 1.082e+00
ENSG00000138675					 1.351e-35	-1.383e+00					 1.097e-41	-1.487e+00
ENSG00000170961	2.342e-215	 1.387e+00	8.087e-124	 1.613e+00	 4.201e-68	 1.620e+00			 1.654e-62	 1.132e+00	 3.381e-65	 1.727e+00
ENSG00000204187	 7.008e-09	 1.113e+00	 1.209e-10	 1.099e+00								
ENSG00000198521					 1.230e-14	-1.056e+00					 8.088e-43	-1.709e+00
ENSG00000276107					 1.246e-24	-3.107e+00	 2.535e-05	 1.267e+00			 1.422e-29	-3.410e+00
ENSG00000151617			 1.020e-90	 1.486e+00					 2.947e-59	 1.143e+00		
ENSG00000223804					 3.526e-22	 1.245e+00						
ENSG00000237649					 1.251e-47	-3.049e+00					 1.653e-53	-3.120e+00
ENSG00000234614	 4.014e-05	-1.326e+00			 1.220e-07	 1.365e+00					 1.211e-21	 2.048e+00
ENSG00000169184					 3.397e-89	-1.932e+00			1.032e-187	-1.578e+00	3.708e-270	-3.321e+00
ENSG00000116128											 2.627e-44	-1.100e+00
ENSG00000111077					 1.313e-66	-1.109e+00					2.536e-212	-1.793e+00
ENSG00000137812					 7.221e-28	-2.161e+00					 3.375e-31	-2.174e+00
ENSG00000101311					 3.085e-12	-1.290e+00					 8.450e-29	-2.177e+00
ENSG00000100219			1.635e-127	 1.017e+00					 0.000e+00	 1.345e+00	 3.326e-81	 1.007e+00
ENSG00000137825			 3.200e-22	 1.742e+00	 1.258e-77	 1.676e+00			 1.536e-22	 1.409e+00	 7.354e-63	 1.520e+00
ENSG00000127533			 2.173e-27	 2.590e+00	 3.242e-18	 2.214e+00			1.603e-131	 4.201e+00	 9.663e-85	 3.743e+00
ENSG00000125347			 8.050e-77	 1.002e+00	2.742e-178	 1.674e+00			5.405e-170	 1.425e+00	9.250e-188	 1.770e+00
ENSG00000274642	 1.111e-12	-1.304e+00										
ENSG00000123096					 1.282e-52	-1.324e+00					 1.661e-92	-1.659e+00
ENSG00000125977			2.666e-155	 1.125e+00					 0.000e+00	 1.525e+00		
ENSG00000108846	 7.217e-68	-1.934e+00							7.019e-101	 1.244e+00		
ENSG00000197081					1.979e-116	 1.391e+00					2.499e-201	 1.841e+00
ENSG00000133424											2.882e-103	-1.265e+00
ENSG00000122877			 2.683e-62	 3.126e+00	2.221e-247	 4.500e+00			 1.519e-11	 1.671e+00	2.888e-134	 4.460e+00
ENSG00000241679											 5.759e-18	 1.741e+00
ENSG00000196154			 4.273e-11	-1.153e+00	 4.350e-29	-2.654e+00	 1.443e-21	-1.149e+00	 3.464e-45	-1.997e+00	 1.844e-33	-2.776e+00
ENSG00000097021									1.643e-150	 1.189e+00		
ENSG00000169174					 8.528e-28	-1.539e+00					 9.472e-27	-1.444e+00
ENSG00000102287					 1.596e-58	-1.132e+00						
ENSG00000188549	 1.140e-88	-1.080e+00										
ENSG00000237781	 3.486e-22	-1.463e+00			 7.171e-15	-1.044e+00					 3.273e-32	-1.569e+00
ENSG00000134684			 0.000e+00	 1.700e+00					 0.000e+00	 2.070e+00		
ENSG00000185614					 7.679e-34	-1.559e+00					 3.283e-65	-2.522e+00
ENSG00000189058			 2.074e-34	-1.232e+00	 5.344e-59	-1.545e+00			 2.513e-62	-1.595e+00	 1.173e-59	-1.500e+00
ENSG00000223361											 3.272e-09	 1.120e+00
ENSG00000102038					 3.416e-94	-1.066e+00					7.210e-103	-1.187e+00
ENSG00000180263											 3.044e-44	-1.291e+00
ENSG00000171604					2.564e-160	-1.719e+00			 1.013e-96	-1.091e+00	2.124e-151	-1.649e+00
ENSG00000250474					 4.196e-06	 1.200e+00					 4.964e-08	 1.484e+00
ENSG00000124216	 3.794e-76	 1.344e+00			 2.347e-93	-1.371e+00					 2.089e-50	-1.065e+00
ENSG00000171992					8.088e-258	-1.585e+00						
ENSG00000107104					 7.475e-86	-2.126e+00					 5.286e-91	-2.119e+00
ENSG00000167487					 4.704e-51	 1.054e+00						
ENSG00000110400					 2.150e-63	-1.425e+00			 1.090e-80	-1.139e+00	 6.398e-70	-1.466e+00
ENSG00000154813											 6.063e-74	 1.072e+00
ENSG00000101335									1.552e-217	 1.363e+00		
ENSG00000132274					5.966e-121	 1.269e+00					1.272e-146	 1.319e+00
ENSG00000272767											 1.833e-05	-1.395e+00
ENSG00000112033									 0.000e+00	 1.458e+00		
ENSG00000085465									 3.054e-22	-1.416e+00	 3.419e-16	-1.289e+00
ENSG00000078098	 4.768e-95	 1.279e+00	3.873e-140	 1.250e+00	 2.389e-65	 1.099e+00						
ENSG00000260837									 3.754e-15	-1.760e+00		
ENSG00000131480					 1.347e-17	 1.534e+00					 2.829e-18	 1.792e+00
ENSG00000204228					 1.441e-10	-1.108e+00						
ENSG00000153714					1.072e-181	 1.483e+00					1.111e-267	 1.714e+00
ENSG00000176454					 5.584e-74	-1.280e+00					 2.013e-67	-1.327e+00
ENSG00000120306											 1.758e-63	 1.065e+00
ENSG00000104368					 1.792e-68	-1.234e+00					1.515e-197	-2.087e+00
ENSG00000142611			 7.339e-07	 1.563e+00	 0.000e+00	 3.887e+00			 5.016e-09	 1.555e+00	 0.000e+00	 3.858e+00
ENSG00000127824	 9.744e-17	-1.103e+00	 2.638e-08	-1.264e+00	 2.613e-16	-1.635e+00					 6.458e-08	-1.139e+00
ENSG00000140859									1.447e-239	 1.324e+00		
ENSG00000140398	 1.352e-22	-1.483e+00			 2.742e-50	-1.632e+00			1.821e-158	-1.787e+00	1.047e-100	-2.498e+00
ENSG00000176208					 6.518e-06	-1.153e+00					 9.291e-07	-1.258e+00
ENSG00000102362			 1.498e-70	-1.170e+00	 9.371e-75	-1.562e+00			 1.172e-99	-1.318e+00	 7.782e-69	-1.713e+00
ENSG00000163347					 0.000e+00	 4.878e+00			 6.534e-35	 2.565e+00	 0.000e+00	 6.177e+00
ENSG00000179750					 3.380e-20	-3.529e+00			 4.810e-26	 1.183e+00	 1.824e-17	-2.746e+00
ENSG00000264608											 1.542e-06	 1.669e+00
ENSG00000178922									 7.658e-97	 1.149e+00		
ENSG00000149503											 1.984e-38	-1.033e+00
ENSG00000244045											 6.600e-52	 1.098e+00
ENSG00000171150					4.948e-105	-1.103e+00					6.854e-114	-1.250e+00
ENSG00000100842											 1.398e-36	-1.420e+00
ENSG00000115504					6.515e-177	-1.601e+00			9.403e-222	-1.155e+00	6.421e-196	-1.856e+00
ENSG00000256092											 1.458e-08	-1.295e+00
ENSG00000136603	 1.021e-62	 1.060e+00	3.315e-124	 1.436e+00	3.606e-108	 1.292e+00			1.096e-202	 1.334e+00	 5.492e-78	 1.173e+00
ENSG00000058262											 2.909e-71	 1.125e+00
ENSG00000171848					 5.341e-98	-4.113e+00					 8.501e-89	-4.033e+00
ENSG00000155324									 5.905e-98	 1.116e+00		
ENSG00000144560					 1.480e-83	 1.022e+00						
ENSG00000267395					 5.871e-19	-1.896e+00			 2.787e-20	-1.473e+00	 2.468e-27	-2.548e+00
ENSG00000118515			1.740e-170	-1.297e+00								
ENSG00000131188					 1.241e-37	-1.822e+00					 1.486e-29	-1.290e+00
ENSG00000114853											 1.119e-63	-1.012e+00
ENSG00000185909			7.946e-217	-1.431e+00	1.144e-189	-2.048e+00			5.057e-314	-1.751e+00	3.909e-259	-2.369e+00
ENSG00000129219					 9.900e-95	-1.244e+00					1.475e-138	-1.745e+00
ENSG00000074416					 1.253e-62	-1.246e+00						
ENSG00000125648					 3.185e-73	-1.269e+00					 2.111e-99	-1.733e+00
ENSG00000106537	3.098e-189	 1.554e+00			 3.249e-12	-1.126e+00	 2.535e-51	 1.043e+00			 1.026e-17	-1.301e+00
ENSG00000168234									 2.079e-60	-1.120e+00		
ENSG00000162520					 2.907e-81	-1.389e+00						
ENSG00000101384	1.215e-170	-1.341e+00	3.573e-187	-1.392e+00	1.900e-106	-1.225e+00						
ENSG00000277778											 3.866e-25	 1.111e+00
ENSG00000198130											 7.454e-29	-1.154e+00
ENSG00000226380					 2.452e-24	 1.403e+00					 4.507e-54	 1.909e+00
ENSG00000090013											 1.813e-63	 1.007e+00
ENSG00000115009			 4.403e-13	 1.602e+00	 2.387e-26	 1.401e+00			 4.054e-54	 2.400e+00	 9.456e-14	 1.281e+00
ENSG00000168010					 4.350e-69	-1.182e+00					2.682e-108	-1.599e+00
ENSG00000136068									1.260e-133	 1.347e+00		
ENSG00000136108					 4.338e-31	-1.097e+00						
ENSG00000143797											 4.590e-55	-1.038e+00
ENSG00000183011											 9.171e-54	-1.027e+00
ENSG00000078237					9.192e-174	 1.691e+00					2.811e-294	 1.983e+00
ENSG00000149636					 4.411e-15	-1.112e+00					 2.520e-18	-1.089e+00
ENSG00000173166									6.313e-120	 1.193e+00		
ENSG00000148848	5.300e-118	 1.179e+00									1.463e-158	-1.825e+00
ENSG00000274276			 1.586e-41	 1.476e+00					7.156e-117	 1.938e+00		
ENSG00000151150			 0.000e+00	-1.655e+00	 0.000e+00	-3.045e+00			 0.000e+00	-2.572e+00	 0.000e+00	-3.936e+00
ENSG00000100335					4.844e-130	 1.108e+00					5.754e-146	 1.207e+00
ENSG00000149212	 1.137e-29	-1.304e+00	 7.470e-53	-1.314e+00	 6.200e-26	-1.359e+00	 2.010e-30	-1.347e+00	1.107e-177	-2.648e+00	 9.835e-40	-1.831e+00
ENSG00000005469									 3.150e-53	-1.051e+00		
ENSG00000196730			1.555e-287	-1.557e+00	4.841e-114	-1.150e+00			 0.000e+00	-1.702e+00	2.083e-115	-1.150e+00
ENSG00000137809	 1.073e-61	-2.048e+00	 2.350e-87	 1.154e+00	1.142e-216	 2.146e+00			1.021e-140	 1.667e+00	5.076e-196	 2.207e+00
ENSG00000139318									 6.624e-73	 1.023e+00		
ENSG00000156011					5.701e-112	 1.106e+00						
ENSG00000155158			 1.806e-55	 1.194e+00					5.531e-144	 1.384e+00	 2.710e-74	 1.023e+00
ENSG00000141540					 4.705e-29	-1.280e+00					 3.958e-69	-2.047e+00
ENSG00000180902											2.092e-130	-1.482e+00
ENSG00000130164					4.831e-219	-1.579e+00					 1.359e-43	-1.077e+00
ENSG00000143248			 2.116e-20	-1.144e+00	 5.045e-28	-1.080e+00			 8.781e-37	-1.351e+00		
