gene	TGFb_t24_FDR	TGFb_t24_logFC	TGFb_t48_FDR	TGFb_t48_logFC	TGFb_t72_FDR	TGFb_t72_logFC	TGFb_and_JQ1_t24_FDR	TGFb_and_JQ1_t24_logFC	TGFb_and_JQ1_t48_FDR	TGFb_and_JQ1_t48_logFC	TGFb_and_JQ1_t72_FDR	TGFb_and_JQ1_t72_logFC
ENSG00000197565	1.127e-123	-1.584e+00	4.072e-200	-1.684e+00	 0.000e+00	-1.996e+00	4.109e-128	-1.340e+00	4.104e-226	-1.7802358		
ENSG00000136770					9.196e-150	 1.121e+00						
ENSG00000171617					 4.152e-33	-1.415e+00	 1.555e-84	 1.423e+00				
ENSG00000224020			 3.501e-05	 1.343e+00	 1.397e-06	 1.529e+00						
ENSG00000146410					 1.222e-06	-1.710e+00						
ENSG00000118526			 2.997e-57	-1.106e+00	6.590e-184	 1.702e+00						
ENSG00000267632	 1.344e-05	-1.165e+00			 2.183e-08	 1.066e+00						
ENSG00000075618					4.176e-176	-2.116e+00	6.046e-105	 1.305e+00				
ENSG00000197860					3.240e-268	 1.774e+00						
ENSG00000268049					 9.502e-06	-1.085e+00						
ENSG00000075218					 4.597e-35	-3.225e+00			1.194e-117	 1.7288916		
ENSG00000107738			 2.429e-49	-1.402e+00	 3.666e-86	-1.542e+00					 3.547e-50	-1.8831687
ENSG00000259092					 1.134e-23	 5.415e+00						
ENSG00000076382					 1.630e-18	-1.347e+00	 4.280e-75	-1.232e+00	 2.879e-78	 1.4054267		
ENSG00000153879			1.574e-221	 2.257e+00							 2.566e-71	-1.6171475
ENSG00000149782					9.760e-143	-1.163e+00						
ENSG00000137070					 3.081e-37	-1.155e+00						
ENSG00000057294					 4.992e-93	-1.421e+00						
ENSG00000066248	 1.214e-22	-1.031e+00										
ENSG00000166750					7.929e-265	 1.931e+00						
ENSG00000261567					 5.839e-05	-1.751e+00						
ENSG00000204580					5.255e-147	-2.006e+00	5.378e-219	-2.380e+00	2.392e-163	-1.5777774		
ENSG00000100629					 8.811e-11	-1.189e+00			 3.241e-17	 1.0964179		
ENSG00000184995			 3.239e-17	 1.964e+00	 1.997e-67	 2.488e+00						
ENSG00000156453			 3.631e-87	 2.575e+00	1.192e-241	 1.883e+00	8.167e-129	 3.029e+00			3.913e-181	-3.4663876
ENSG00000090889					 1.002e-14	-1.464e+00			1.170e-142	 1.7651021		
ENSG00000160917					 1.680e-86	 1.054e+00						
ENSG00000135636	 1.425e-51	-1.071e+00										
ENSG00000204389			 3.118e-59	-1.326e+00	7.698e-126	-2.111e+00						
ENSG00000145777	 1.748e-45	-1.523e+00			 9.436e-68	 1.601e+00	 6.410e-76	-2.467e+00				
ENSG00000170485			3.289e-106	 1.191e+00							 2.207e-37	-1.1323304
ENSG00000235109	 2.120e-22	-1.035e+00			 2.194e-21	-1.226e+00					2.260e-116	 2.3693833
ENSG00000069482	 2.118e-76	 1.542e+00										
ENSG00000078081	 1.037e-07	-1.612e+00			 0.000e+00	 4.289e+00			 3.540e-10	 2.0249990	 1.008e-17	-1.8853526
ENSG00000247240					 3.985e-09	-1.206e+00						
ENSG00000125967					 2.287e-65	-1.385e+00						
ENSG00000099251					 6.571e-13	-1.117e+00						
ENSG00000168502					 1.520e-73	-1.059e+00						
ENSG00000196449					 1.037e-53	 1.047e+00						
ENSG00000061918			 2.047e-15	-1.167e+00	 7.625e-20	-1.455e+00	 8.230e-26	 1.219e+00			 3.548e-19	 1.2155688
ENSG00000172137	 9.269e-16	 2.589e+00			 9.602e-62	 5.183e+00						
ENSG00000127423					 1.605e-07	-2.835e+00			 6.654e-05	 1.2274281		
ENSG00000101447					 1.428e-36	-1.821e+00			1.950e-126	 1.7397137		
ENSG00000179104			 5.051e-47	-1.329e+00	 2.587e-17	-1.028e+00					 9.751e-56	 1.7144398
ENSG00000267681					 9.239e-08	 1.153e+00						
ENSG00000207279					 3.080e-05	-2.225e+00						
ENSG00000106701					 2.418e-39	 1.164e+00						
ENSG00000222032	 7.710e-19	 1.517e+00	 1.258e-12	 2.139e+00	 1.892e-05	 2.021e+00						
ENSG00000120889					3.449e-229	 1.730e+00						
ENSG00000099889			 2.475e-14	-1.160e+00			 3.889e-20	 1.136e+00				
ENSG00000101057					 2.989e-86	-4.919e+00			 3.017e-99	 1.7263555		
ENSG00000260461					 8.336e-12	-1.280e+00	 7.961e-13	-1.233e+00				
ENSG00000165424					 7.453e-79	-1.056e+00						
ENSG00000163507					 3.970e-22	-1.341e+00						
ENSG00000269439			 1.468e-30	 1.463e+00								
ENSG00000080986					 4.982e-16	-1.985e+00			 2.757e-68	 1.5246842		
ENSG00000156103					2.126e-183	 1.763e+00						
ENSG00000235927	 1.966e-08	-1.421e+00									 1.619e-07	-1.1208681
ENSG00000059728			 9.615e-66	 1.346e+00	 0.000e+00	 2.101e+00						
ENSG00000241886			 2.902e-06	 1.612e+00	 4.501e-07	 1.983e+00						
ENSG00000281207			 8.534e-10	 1.183e+00	 6.606e-83	 1.703e+00	 5.262e-21	 1.299e+00				
ENSG00000162878					 7.020e-78	-1.106e+00						
ENSG00000170469					 3.173e-16	 1.201e+00						
ENSG00000109674					 1.964e-26	-4.217e+00			 6.362e-15	 1.1995489		
ENSG00000132561	 1.413e-14	-1.054e+00	2.013e-212	-2.846e+00	1.995e-148	-2.487e+00			5.361e-186	-2.3364802	 6.039e-31	-1.2931775
ENSG00000156502					 5.992e-79	 1.217e+00						
ENSG00000147416					9.575e-107	 1.202e+00						
ENSG00000151067	 5.009e-27	 1.041e+00							 3.081e-87	-1.8468735	 5.529e-42	-1.1006669
ENSG00000024526					 8.396e-16	-1.645e+00	3.655e-130	-1.356e+00				
ENSG00000038427	3.110e-235	 1.493e+00	 0.000e+00	 2.534e+00	 7.947e-43	 1.889e+00	3.604e-106	 1.175e+00	4.733e-142	 1.2333749		
ENSG00000196843					 2.413e-90	 1.351e+00						
ENSG00000100647			6.018e-157	 1.200e+00	5.303e-160	 1.590e+00						
ENSG00000122035	 2.791e-52	-1.662e+00	 6.596e-62	-1.981e+00	 2.043e-19	-1.098e+00			 9.779e-95	 1.3250326	 5.461e-51	 1.7588053
ENSG00000118263			 2.193e-81	 1.111e+00								
ENSG00000196358					 2.478e-32	 1.027e+00	 2.314e-15	-1.171e+00	 1.741e-37	-1.0864681		
ENSG00000088325					 9.981e-59	-1.876e+00	 1.403e-69	-1.026e+00				
ENSG00000054654	1.110e-100	-1.017e+00	 2.172e-88	-1.134e+00	6.411e-251	-1.801e+00						
ENSG00000183763					 9.363e-07	-1.477e+00			 5.656e-35	 1.6298462		
ENSG00000117399					 4.122e-50	-2.509e+00			7.492e-143	 1.9239248		
ENSG00000078018					 2.633e-22	 1.073e+00			 6.381e-17	 1.0572404		
ENSG00000100558	 8.239e-52	 1.126e+00	 3.234e-16	 1.297e+00							 8.673e-12	-1.8972843
ENSG00000129173					 7.579e-05	-3.004e+00	 8.719e-40	-2.144e+00				
ENSG00000130487			 3.250e-16	 5.849e+00	3.325e-275	 4.370e+00					 5.113e-18	-5.3480869
ENSG00000013588	 2.732e-51	-1.054e+00	1.386e-180	-2.027e+00	1.780e-107	-1.614e+00	2.175e-115	 1.375e+00				
ENSG00000144554					 1.361e-27	-2.303e+00	1.154e-116	-1.678e+00				
ENSG00000100253			 4.813e-07	 2.446e+00	 3.961e-18	 1.745e+00					 2.097e-14	-3.2454645
ENSG00000142856					 5.448e-18	-1.097e+00						
ENSG00000163171			 2.435e-37	 1.236e+00							 1.613e-68	-1.6731700
ENSG00000188153	 1.521e-90	-1.132e+00			 1.555e-84	-1.017e+00	 1.052e-94	-1.238e+00	2.223e-133	-1.4582783		
ENSG00000169683					 1.365e-36	-1.430e+00						
ENSG00000143507	 1.492e-24	-1.055e+00										
ENSG00000130748					 2.592e-32	-1.190e+00						
ENSG00000187796			 4.164e-70	 1.821e+00							 1.176e-12	-1.2595435
ENSG00000122378			 1.153e-88	-1.286e+00	 1.566e-65	-1.524e+00	 5.681e-55	-1.835e+00	 4.241e-82	-1.4200810		
ENSG00000256973	 8.996e-09	-1.202e+00										
ENSG00000067445					 1.763e-33	-1.281e+00						
ENSG00000261550					 6.261e-05	 1.170e+00	 8.205e-05	-1.197e+00				
ENSG00000186193					 1.197e-19	-3.229e+00	 1.165e-62	-1.390e+00	 8.021e-38	 1.3886358		
ENSG00000198901					 9.009e-58	-2.308e+00	2.511e-148	-1.392e+00	 1.978e-81	 1.1338048		
ENSG00000260630					 1.128e-61	-1.843e+00						
ENSG00000035403					 3.264e-74	-1.212e+00						
ENSG00000130635			7.067e-173	 1.106e+00								
ENSG00000149428					 6.368e-94	 1.625e+00						
ENSG00000249992			 1.349e-22	-1.019e+00								
